"Double 
Checked?",survey_date,spawn_start_date,spawn_end_date,region,side,map#,point_id,location,weather,time_start,time_end,tide_time_start ,tide_time_end,tide_start,tide_end,method,water_conditions,max_vert_visibility_m,sea_conditions,length_m,average_width_m,grass_layers,grass_%substrate,RW_layers,RW_%substrate,kelp_layers,kelp_%substrate,BA_layers,BA_%substrate,LR_layers,LR_%substrate,SR_layers,SR_%substrate,RK_layers,RK_%substrate,O,O_%substrate,Other substrate details ,estimated%_of_spawn_area_bare,notes,Source
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-8,,,,,,,,,,,,,360,4,,,1.5,0.9,,,,,,,,,1,0.1,,,,0.1,,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-9,,,,,,,,,,,,,557,6,,,2,0.7,,,1,0.2,,,,,1,0.1,,,,0.1,,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-10,,,,,,,,,,,,,176,4,,,1.5,0.8,,,1,0.1,,,,,1,0.1,,,,0.15,,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-11,,,,,,,,,,,,,290,3,,,1.5,0.8,,,0.5,0.1,,,,,1,0.1,,,,0.2,,
TRUE,3/26/1994,3/23/1994,3/24/1994,Thompson Sound ,northside ,,W-12,,,,,,,,,,,,,436,5,,,1.5,0.9,,,0.5,0.05,,,,,1,0.05,,,,0.1,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,1,Upton Pt to Fredrick Creek ,,,,,,,,,,,,112,52,,,2.5,0.8,,,,,,,,,1,0.2,,,,0.15,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,2,Upton Pt to Fredrick Creek ,,,,,,,,,,,,80,30,,,2.5,0.8,,,,,,,,,1,0.2,,,,0.15,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,3,Upton Pt to Fredrick Creek ,,,,,,,,,,,,580,5,,,2.5,0.8,,,,,,,,,2,0.2,,,,0.1,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,4,Upton Pt to Fredrick Creek ,,,,,,,,,,,,679,7,,,3,0.8,,,,,,,,,2,0.2,,,,0.05,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,5,Upton Pt to Fredrick Creek ,,,,,,,,,,,,135,50,,,2,0.9,,,,,,,,,2,0.2,,,,0.1,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,6,Upton Pt to Fredrick Creek ,,,,,,,,,,,,633,6,,,3.5,0.9,,,,,,,,,2,0.1,,,,0.1,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,7,Upton Pt to Fredrick Creek ,,,,,,,,,,,,345,8,,,4,0.8,,,,,,,,,2,0.1,,,,0.1,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,8,Upton Pt to Fredrick Creek ,,,,,,,,,,,,933,7,,,4,0.7,,,,,,,,,2,0.2,,,,0.05,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,9,Upton Pt to Fredrick Creek ,,,,,,,,,,,,310,7,,,5,0.7,,,,,,,,,2,0.3,,,,0.05,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,10,Upton Pt to Fredrick Creek ,,,,,,,,,,,,4774,7,,,4,,,,,,,,,,2,0.3,,,,0.52,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,11,Upton Pt to Fredrick Creek ,,,,,,,,,,,,70,3,1,0.95,,,,,,,,,,,1,0.05,,,,0.1,creek mouth,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,12,Upton Pt to Fredrick Creek ,,,,,,,,,,,,1360,4,,,2,0.9,,,,,,,,,1,0.1,,,,0.4,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,13,Upton Pt to Fredrick Creek ,,,,,,,,,,,,693,3,,,1.5,0.9,,,,,,,,,1,0.1,,,,0.3,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,westside ,,14,Upton Pt to Fredrick Creek ,,,,,,,,,,,,680,2,,,1,0.95,,,,,,,,,1,0.05,,,,0.2,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,eastside,,E-1,Upton Pt to Fredrick Creek ,,,,,,,,,,,,450,6,,,1,0.9,,,,,,,,,1,0.1,,,,0.2,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,eastside,,E-2,Upton Pt to Fredrick Creek ,,,,,,,,,,,,550,15,,,1,0.8,,,,,,,,,1,0.2,,,,0.25,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,eastside,,E-3,Upton Pt to Fredrick Creek ,,,,,,,,,,,,1800,5,,,0.5,0.95,,,,,,,,,1,0.05,,,,0.25,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,eastside,,E-4,Upton Pt to Fredrick Creek ,,,,,,,,,,,,1100,6,,,2,0.8,,,,,,,,,1,0.2,,,,0.1,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,eastside,,E-5,Upton Pt to Fredrick Creek ,,,,,,,,,,,,675,10,,,2.5,0.9,,,,,,,,,1,0.1,,,,0.15,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,eastside,,E-6,Upton Pt to Fredrick Creek ,,,,,,,,,,,,600,5,,,1.5,0.9,,,,,,,,,1,0.1,,,,0.1,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,eastside,,E-7,Upton Pt to Fredrick Creek ,,,,,,,,,,,,575,4,,,1,0.95,,,,,,,,,1,0.05,,,,0.2,,
TRUE,3/27/1994,3/24/1994,3/26/1994,Wakeman Sound,eastside,,E-8,Upton Pt to Fredrick Creek ,,,,,,,,,,,,3280,5,,,1,0.95,,,,,,,,,1,0.05,,,,0.3,,
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,west_side,W1,,,raining,,,10:05,16:05,2.6,14.1,"walk, viewer, rake, boat, hipchain",clear,2,calm,500,2,,,2,0.95,,,,,,,,,1,0.5,,,,0.15,"very few birds
total of 5.3 miles for Wakeman
note: most of the area spawned on the 11th, with a second spawn on the 14th of march",
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,west_side,W1,,,raining,,,10:05,16:05,2.6,14.1,"walk, viewer, rake, boat, hipchain",clear,2,calm,700,2.5,,,3,0.7,,,1,0.5,,,,,2,0.25,,,,0.15,"very few birds
total of 5.3 miles for Wakeman
note: most of the area spawned on the 11th, with a second spawn on the 14th of march",
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,west_side,W1,,,raining,,,10:05,16:05,2.6,14.1,"walk, viewer, rake, boat, hipchain",clear,2,calm,60,3,,,8,0.8,,,5,0.5,,,,,8,0.15,,,,0.05,"very few birds
total of 5.3 miles for Wakeman
note: most of the area spawned on the 11th, with a second spawn on the 14th of march",
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,west_side,W1,,,raining,,,10:05,16:05,2.6,14.1,"walk, viewer, rake, boat, hipchain",clear,2,calm,134,2.5,,,2,0.8,,,,,,,,,2,0.2,,,,0.15,"very few birds
total of 5.3 miles for Wakeman
note: most of the area spawned on the 11th, with a second spawn on the 14th of march",
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,west_side,W1,,,raining,,,10:05,16:05,2.6,14.1,"walk, viewer, rake, boat, hipchain",clear,2,calm,1054,3,,,3,0.7,,,2,0.1,,,,,3,0.2,,,,0.2,"very few birds
total of 5.3 miles for Wakeman
note: most of the area spawned on the 11th, with a second spawn on the 14th of march",
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,west_side,W1,,,raining,,,10:05,16:05,2.6,14.1,"walk, viewer, rake, boat, hipchain",clear,2,calm,1200,1,,,0.5,1,,,,,,,,,,,,,,0.25,"very few birds
total of 5.3 miles for Wakeman
note: most of the area spawned on the 11th, with a second spawn on the 14th of march",
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,west_side,W1,,,raining,,,10:05,16:05,2.6,14.1,"walk, viewer, rake, boat, hipchain",clear,2,calm,1700,1,,,1,0.95,,,,,,,,,1,0.05,,,,0.2,"very few birds
total of 5.3 miles for Wakeman
note: most of the area spawned on the 11th, with a second spawn on the 14th of march",
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,west_side,W1,,,raining,,,10:05,16:05,2.6,14.1,"walk, viewer, rake, boat, hipchain",clear,2,calm,2750,1,,,1,1,,,,,,,,,,,,,,0.3,"very few birds
total of 5.3 miles for Wakeman
note: most of the area spawned on the 11th, with a second spawn on the 14th of march",
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,east_side,E1,,,raining,9:00,,10:05,16:05,2.6,14.1,"boat, viewer, rake, hipchain",clear,2,choppy,2879,2,,,2,0.85,,,,,,,,,1,0.15,,,,0.1,very few birds in the area,
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,east_side,E1,,,raining,9:00,,10:05,16:05,2.6,14.1,"boat, viewer, rake, hipchain",clear,2,choppy,35,2,,,3.5,0.8,,,,,,,,,2,0.2,,,,0.05,very few birds in the area,
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,east_side,E1,,,raining,9:00,,10:05,16:05,2.6,14.1,"boat, viewer, rake, hipchain",clear,2,choppy,375,1,0.5,0.7,0.5,0.3,,,,,,,,,,,,,,0.25,very few birds in the area,
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,east_side,E1,,,raining,9:00,,10:05,16:05,2.6,14.1,"boat, viewer, rake, hipchain",clear,2,choppy,200,15,1,0.9,,,,,,,,,,,,,1,0.1,,0.3,very few birds in the area,
TRUE,3/21/1999,3/11/1999,,Wakeman Sound,east_side,E1,,,raining,9:00,,10:05,16:05,2.6,14.1,"boat, viewer, rake, hipchain",clear,2,choppy,175,5,1,0.9,,,,,,,,,,,,,1,0.1,,0.25,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,1666,1,,,0.5,1,,,,,,,,,,,,,,0.4,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,4730,3,,,0.5,0.95,,,,,,,,,0.5,0.5,,,,0.2,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,2221,2,,,0.25,1,,,,,,,,,,,,,,0.1,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,1481,3,,,3,0.8,,,,,,,,,2,0.2,,,,0.1,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,75,5,,,3,0.9,,,,,,,,,2,0.1,,,,0.1,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,926,2,,,1,0.85,,,,,,,,,1,0.15,,,,0.15,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,500,2,,,0.5,1,,,,,,,,,,,,,,0.3,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,300,4,,,2,0.9,,,,,,,,,1,0.1,,,,0.05,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,425,1,,,0.25,1,,,,,,,,,,,,,,0.3,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,100,2,,,0.75,1,,,,,,,,,,,,,,0.15,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,west_side,W1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,30,2.5,,,0.5,1,,,,,,,,,,,,,,0.1,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,east_side,E1,,,sunny,,,12:05,18:15,3.6,12.1,"walk, viewer, rake, boat",turbid,0.5,calm,4445,2,,,1.5,0.8,,,,,,,,,1,0.2,,,,0.2,very few birds in the area,
TRUE,3/23/1999,3/18/1999,,Knight Inlet,east_side,E1,,,sunny,12:05,18:15,,,3.6,12.1,"walk, boat, viewer, rake",turbid,0.5,calm,2037,1.5,,,0.25,1,,,,,,,,,,,,,,0.2,,
TRUE,3/24/1999,3/18/1999,,Knight Inlet,east_side,,,,raining,,,,,,,boat,turbid,0,rough,1482,1.5,,,1,0.95,,,,,,,,,1,0.05,,,,0.1,,
TRUE,3/24/1999,3/18/1999,,Knight Inlet,east_side,,,,raining,,,,,,,boat,turbid,0,rough,740,2.5,,,1.5,0.9,,,,,,,,,1,0.1,,,,0.1,,
TRUE,3/24/1999,3/18/1999,,Knight Inlet,east_side,,,,raining,,,,,,,boat,turbid,0,rough,10,2.5,,,0.5,0.95,,,,,,,,,0.5,0.05,,,,0.1,,
TRUE,3/24/1999,3/18/1999,,Knight Inlet,east_side,,,,raining,,,,,,,boat,turbid,0,rough,275,2,,,0.5,0.85,,,,,,,,,0.5,0.15,,,,0.1,,
TRUE,4/1/1999,3/20/1999,,Beaver Harbour,,1,,,overcast,,,7:50,13:45,3.9,13.1,"walk, boat, viewer, rake",clear,3,choppy,483,4,0.5,0.05,1,0.6,0.25,0.15,,,,,,,1,0.2,,,,0.15,"lots of deep water spawning in this area.
dive survey should have been done in this area.
heavy bird predation",
TRUE,4/1/1999,3/20/1999,,Beaver Harbour,,1,,,overcast,,,8:50,14:45,3.9,13.1,"walk, boat, viewer, rake",clear,3,choppy,225,2,0.5,1,1,0.6,,,,,,,,,1,0.3,,,,0.15,"lots of deep water spawning in this area.
dive survey should have been done in this area.
heavy bird predation",
TRUE,4/1/1999,3/20/1999,,Beaver Harbour,,1,,,overcast,,,9:50,15:45,3.9,13.1,"walk, boat, viewer, rake",clear,3,choppy,104,5,0.25,0.05,0.5,0.6,0.25,0.05,,,,,,,1,0.3,,,,0.1,"lots of deep water spawning in this area.
dive survey should have been done in this area.
heavy bird predation",
TRUE,4/1/1999,3/20/1999,,Beaver Harbour,,1,,,overcast,,,10:50,16:45,3.9,13.1,"walk, boat, viewer, rake",clear,3,choppy,20,3,0.5,0.05,1,0.7,,,0.5,0.05,,,,,1,0.2,,,,0.05,"lots of deep water spawning in this area.
dive survey should have been done in this area.
heavy bird predation",
TRUE,4/1/1999,4/1/1999,,Beaver Harbour,,1,,,overcast,,,11:50,17:45,3.9,13.1,"walk, boat, viewer, rake",clear,3,choppy,161,7,1,0.05,2,0.6,0.5,0.05,1,0.05,,,,,1,0.25,,,,0.05,"lots of deep water spawning in this area.
dive survey should have been done in this area.
heavy bird predation",
TRUE,4/1/1999,4/1/1999,,Beaver Harbour,,1,,,overcast,,,12:50,18:45,3.9,13.1,"walk, boat, viewer, rake",clear,3,choppy,60,3,,,1,0.8,,,,,,,,,1,0.2,,,,0.1,"lots of deep water spawning in this area.
dive survey should have been done in this area.
heavy bird predation",
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,sunny,10:05,16:15,,,4.3,12.5,"walk, boat, viewer, rake, hipchain",clear,5,calm,95,3,,,3,0.8,,,,,,,,,2,0.2,,,,0.05,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,,,,,,,,,,,,50,2,,,2,0.9,,,,,,,,,1,0.1,,,,0.2,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,,,,,,,,,,,,65,4,,,4,0.8,,,,,,,,,2,0.2,,,,0.05,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,,,,,,,,,,,,30,2,,,3,0.9,,,,,,,,,1,0.1,,,,0.1,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,,,,,,,,,,,,127,3,,,2,0.9,,,,,,,,,1,0.1,,,,0.15,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,sunny,10:05,16:15,,,4.3,12.5,"walk, boat, viewer, rake, hipchain",clear,5,calm,150,1,,,1.5,0.95,,,,,,,,,1,0.05,,,,0.25,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,sunny,10:05,16:15,,,4.3,12.5,"walk, boat, viewer, rake, hipchain",clear,5,calm,550,2,,,1.5,0.85,,,,,,,,,1,0.15,,,,0.15,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,,,,,,,,,,,,640,2,,,0.75,0.85,,,,,,,,,1,0.15,,,,0.1,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,,,,,,,,,,,,370,2.5,,,1,0.75,0.5,0.1,,,,,,,1,0.15,,,,0.2,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,,,,,,,,,,,,275,3,,,2.5,0.4,0.5,0.1,,,,,,,3,0.5,,,,0.1,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,,,,,,,,,,,,1290,2,,,0.75,0.2,,,,,,,,,1,0.8,,,,0.15,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,,,,,,,,,,,,,,,740,3,,,1,0.05,,,,,,,,,1,0.95,,,,0.2,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,95,3,,,3,0.8,,,,,,,,,2,0.2,,,,0.05,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,50,2,,,2,0.9,,,,,,,,,1,0.1,,,,0.2,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,65,4,,,4,0.8,,,,,,,,,2,0.2,,,,0.05,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,30,2,,,3,0.9,,,,,,,,,1,0.1,,,,0.1,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,127,3,,,2,0.9,,,,,,,,,1,0.1,,,,0.15,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,15,2,,,1.5,0.95,,,,,,,,,1,0.05,,,,0.25,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,550,2,,,1.5,0.85,,,,,,,,,1,0.15,,,,0.15,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,640,2,,,0.75,0.85,,,,,,,,,1,0.15,,,,0.1,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,370,2.5,,,1,0.75,0.5,0.1,,,,,,,1,0.15,,,,0.2,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,275,3,,,2.5,0.4,0.5,0.1,,,,,,,3,0.5,,,,0.1,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,1290,2,,,0.75,0.2,,,,,,,,,1,0.8,,,,0.15,lots of bird predation,
TRUE,4/5/1999,3/25/1999,3/27/1999,Thompson Sound,,1 west,,,sunny,,,10:05,16:15,4.3,12.5,"walk, boat, viewer, rake, other (hipchain)",clear ,5,calm,740,3,,,1,0.05,,,,,,,,,1,0.95,,,,0.2,lots of bird predation,
TRUE,3/7/2000,3/28/2000,,Mackenzie C,,02-28-00-03,,,sunny,8:03,,,,4.7,,boat,turbid,2,calm,0.25,1,,,,,,,,,,,,,,,,,,0.3,,
TRUE,3/7/2000,2/28/2000,,Wakeman Sound,,02-28-00-02,,,sunny,8:03,,,,4.7,,boat,turbid,2,calm,70,1,,,0.5,1,,,,,,,,,,,,,,0.2,,
TRUE,3/7/2000,2/28/2000,,Wakeman Sound,,02-28-00-01,,,sunny,8:03,14:02,,,4.7,15.1,"boat, viewer, rake",turbid,2,calm,231,1,1,0.2,1,0.7,,,,,,,,,1,0.1,,,,0.2,,
TRUE,3/7/2000,2/28/2000,,Wakeman Sound,,02-28-00-01,,,sunny,8:03,14:02,,,4.7,15.1,"boat, viewer, rake",turbid,2,calm,70,15,,,0.5,0.8,,,,,,,,,1,0.2,,,,0.25,,
TRUE,3/7/2000,2/28/2000,,Wakeman Sound,,02-28-00-01,,,sunny,8:03,14:02,,,4.7,15.1,"boat, viewer, rake",turbid,2,calm,68,3,,,1,0.9,,,,,,,,,1,0.1,,,,0.2,,
